id_new,ciudad,seccion,fecha,titulo,vistas,likes,shares,comentarios,denuncia,genero_autor
592909,Iquique,Policial,2019-04-27,Carabineros celebró su 92° aniversario con desfile en la Avenida Arturo Prat de Iquique,2706,14472,3044,774,si,femenino
308652,Valparaíso,Sociedad,2015-03-05,"Mañana serán los alegatos por los recursos en contra del libro ""Nicolás tiene dos papás""",12296,12906,534,638,si,masculino
475848,Osorno,Sociedad,2017-07-14,Pronostican temperaturas bajo cero para este fin de semana en Osorno,2332,10125,3052,955,si,femenino
109180,Arica,Sociedad,2012-08-01,Arica: realizarán mejoras de fachadas y techumbres en la comuna de Putre,16388,14755,2721,1954,no,masculino
114675,Quillota,Policial,2012-08-25,Instalan 120 alarmas en el centro de La Calera para evitar robos,5193,1090,1985,1358,si,femenino
685219,Temuco,Policial,2020-12-09,Juicio por crimen de Catrillanca seguirá pero por plataforma Zoom,15502,12390,2906,1916,si,masculino
233124,Valdivia,Sociedad,2014-02-25,Tras dos años de espera el Daem de Valdivia tienen nuevo director,14642,14051,2794,732,si,femenino
666660,Antofagasta,Sociedad,2020-07-30,Concejales de Antofagasta solicitaron al TER la exclusión de la alcaldesa de Antofagasta del padrón electoral,6068,7892,2482,1506,si,masculino
24795,Concepción,Sociedad,2011-07-03,El defensor Georgy Schubert postula a la Defensoría Nacional,9892,6953,81,1960,si,masculino
39328,Temuco,Deportes,2011-09-18,Hoy y mañana continúa el rodeo en la medialuna de la Sofo en Temuco,4293,3611,817,40,si,femenino
61899,Puerto Montt,Policial,2011-12-30,Ocho detenidos en la Plaza de Puerto Montt tras celebración de hinchas de la “U”,11048,14494,241,1525,si,femenino
14870,Chillán,Policial,2011-05-14,Un  incendio en un bus interprovincial que salió de Chillán obliga a evacuar a sus pasajeros,17234,14967,980,158,no,masculino
701472,Puerto Montt,Visión Acuícola,2021-04-11,Un 81% de la mortalidad de salmones en centros de Los Lagos y Aysén ha sido retirada,8718,14332,3056,696,no,femenino
579384,Iquique,Sociedad,2019-01-31,Se acabó la espera: hoy se inauguró el segundo acceso que une Iquique con Alto Hospicio,13545,10588,938,803,no,femenino
312321,Arauco,Policial,2015-03-24,Dos jóvenes asaltaron un local con un hacha y piedras en Cañete: uno quedó detenido,8843,13960,1268,1141,no,masculino
466042,Antofagasta,Deportes,2017-05-25,Los nombres que suenan fuerte para asumir la banca de Club de Deportes Antofagasta,2686,13404,1689,1444,no,femenino
328079,Chiloé,Policial,2015-06-12,Misterioso incendio destruyó una casa de veraneo en Cucao,7283,8841,860,1076,no,masculino
688004,Valparaíso,Sociedad,2021-01-01,Región de Valparaíso parte el 2021 con 254 casos nuevos de COVID-19 y se acerca a los mil pacientes activos,12192,10354,1309,576,si,masculino
670521,Santiago,Sociedad,2020-08-26,Viudos y separados han sufrido más problemas de salud mental que casados y solteros en pandemia,8511,11822,422,24,si,femenino
176838,Concepción,Sociedad,2013-05-28,Más de diez discapacitados de Concepción recibieron de regalo una silla de ruedas,16882,10306,2192,1301,no,masculino
419230,Valdivia,Sociedad,2016-09-21,Instalarán la primera piedra de complejo habitacional para comité en Máfil,371,12656,1644,252,no,masculino
643140,Quillota,Sociedad,2020-03-15,Municipio de Limache suspende clases por coronavirus: evalúan prolongación,17329,12864,987,696,no,femenino
613316,Antofagasta,Sociedad,2019-08-31,Tienda Ripley de Antofagasta fue cerrada por falta de agua potable,6553,2406,1087,867,no,masculino
441942,Temuco,Sociedad,2017-01-18,Diputado Rathgeb pedirá a la Onemi devolver a Bomberos los costos por incendios forestales,17655,3190,2720,267,si,masculino
744111,Antofagasta,Policial,2022-02-11,[VIDEO] Carabineros de Antofagasta traslada a dos detenidos por el crimen de conductor,10189,7603,747,570,no,masculino
571842,Temuco,Sociedad,2018-12-12,Mineduc invita a establecimientos de La Araucanía a postular al Plan Nacional de Lenguajes Digitales,10333,3645,1997,443,no,masculino
199740,Chillán,Policial,2013-09-12,"Comisario de Chillán John Polanco: ""El atraco al supermercado estaba debidamente organizado""",19290,11921,811,1049,si,femenino
669148,Osorno,Policial,2020-08-16,Pasajero se negó a control en terminal de Osorno y golpeó a funcionaria de la Seremi de Salud,15557,9197,889,615,si,femenino
625659,Concepción,Sociedad,2019-11-18,Manifestaciones provocan cortes en calle Paicaví y en la autopista que une Concepción y Talcahuano,14666,14588,1779,1624,si,masculino
523351,Arica,Sociedad,2018-03-21,El primer semestre estará concluido el edificio de la Escuela de Medicina de la UTA en Arica,17030,6751,336,665,no,masculino
153879,Calama,Sociedad,2013-02-11,El Río Loa aumenta su caudal tras las lluvias al interior de la Provincia,14960,3752,3086,248,si,femenino
649172,Valdivia,Sociedad,2020-04-18,Andre Liggenstorfer: valdiviano en Suiza cuenta cómo ha sido su experiencia en esta crisis sanitaria,4272,14140,431,1962,no,masculino
107248,Quillota,Policial,2012-07-24,"Apoderados tras sentencia del ""Tío Tito"": ""Encontramos que 7 años es una burla""",14891,11067,1142,1648,si,masculino
101499,San Antonio,Cultura,2012-06-28,Mañana se presentará el último capítulo de la obra de teatro Amorpuntocom en San Antonio,8086,9428,224,185,si,masculino
487894,Concepción,Policial,2017-09-17,Hualpén: detuvieron a un hombre y una mujer con más de 28 mil dosis de cocaína en una mochila,13739,4247,1781,1536,si,masculino
780985,Quillota,Policial,2022-10-13,Encuentran a hombre sin vida al interior de un vehículo en Tabolango,1489,6125,2683,1077,si,masculino
603793,Antofagasta,Sociedad,2019-07-01,Antofagastinos arrasaron con lentes para ver eclipse solar,18500,3260,1312,1763,no,masculino
696750,Arica,Sociedad,2021-03-08,"Arica: 79 acciones sumó Programa Lazos para la prevención y reinserción social de niños, niñas y adolescentes en la comuna",3079,313,1266,626,no,femenino
436562,Puerto Montt,Policial,2016-12-20,Caso Haeger: Fiscalía de Puerto Varas podría cerrar esta semana la investigación,3156,8360,649,474,no,masculino
478681,Iquique,Policial,2017-07-30,[VIDEO] La espectacular captura de un delincuente que mantiene más de 15 causas en Iquique,11727,12839,2071,1087,no,masculino
64074,Puerto Montt,Espectáculos,2012-01-09,Los Bunkers vienen a lucir los pergaminos obtenidos el 2011,7237,13497,3288,578,si,femenino
390812,Concepción,Sociedad,2016-05-02,Más de 400 reponedores de Concepción marcharon exigiendo más seguridad en los supermercados,15734,4976,705,1931,no,masculino
539136,Concepción,Sociedad,2018-06-13,Un incendio en Plaza Independencia de Concepción asustó a los penquistas,12757,8379,2009,83,no,masculino
44352,Osorno,Policial,2011-10-13,Detienen a dos sujetos por millonario robo en el sector de Pelleco,11826,1436,159,50,no,masculino
201440,Antofagasta,Deportes,2013-09-22,Ciclismo en Antofagasta: Danilo Villalobos se quedó con la Copa ‘René Araya Jimenez’,17199,2540,554,1248,si,femenino
61232,Iquique,Sociedad,2011-12-27,Expertos preparan la instalación de estructuras para lanzar los fuegos artificiales en Iquique,14944,9532,525,1190,no,femenino
201320,Puerto Montt,Sociedad,2013-09-21,Más de dos mil personas por noche llegaron a las ramadas de la Costanera de Puerto Montt,19245,10666,71,1695,si,masculino
561046,Concepción,Sociedad,2018-10-12,Interpusieron demanda por $600 millones por muerte de trabajador en explosión del Sanatorio Alemán,13008,2604,2708,819,si,masculino
449146,San Antonio,Sociedad,2017-02-27,Sanantonino reportado como desaparecido en el Cajón del Maipo se comunicó con su familia,15534,5581,615,1390,no,femenino
166024,Valparaíso,Policial,2013-04-08,Viña: dos delincuentes fueron detenidos tras agredir salvajemente a una mujer a quien robaron su cartera,7822,10387,2825,644,si,masculino
763305,Arica,Sociedad,2022-06-23,Arica y Parinacota: Luego de dos años Bafona deleitó a los ariqueños con presentación folclórica,2267,13409,2692,1624,si,femenino
488960,Valdivia,Policial,2017-09-23,Controlan principio de incendio en el sector Guacamayo en Valdivia,18878,7630,474,1800,si,femenino
295185,San Antonio,Policial,2014-12-23,Un bebé casi nace en un vehículo policial de Melipilla,7851,13608,558,1351,si,femenino
38445,Puerto Montt,Sociedad,2011-09-14,Inauguran una plaza de Juegos en Puerto Montt,5925,2431,856,1580,no,femenino
432180,Chiloé,Deportes,2016-11-28,Quintetos chilotes triunfan el fin de semana en la Liga Nacional de Básquetbol,3178,12166,2378,1559,si,femenino
79182,Arica,Sociedad,2012-03-19,Españolas que llegaron a Arica son las primeras extranjeras en la historia de Servicio País,9090,8098,3076,906,no,masculino
29444,Puerto Montt,Sociedad,2011-07-29,Una persona falleció tras caer por la escalera de un restaurant en Puerto Montt,17206,10215,2668,133,si,femenino
596029,Chiloé,Cultura,2019-05-16,Músicos chilotes participarán en festival de Alemania,17809,13543,3234,102,no,femenino
605217,San Antonio,Nuestro Mar,2019-07-10,Dos sindicatos firmaron acuerdo de negociación colectiva en STI,15458,3325,507,1637,no,masculino
679822,Antofagasta,Sociedad,2020-10-30,10  fueron los locales clausurados en el Mercado Municipal de Antofagasta tras brote de coronavirus,8673,12025,691,1642,si,femenino
741704,Valparaíso,Sociedad,2022-01-25,&quot;Delivery en robos&quot; mantiene en alerta a  vecinos de Concón y Reñaca,14872,4861,209,1576,no,masculino
778393,Temuco,Sociedad,2022-09-26,Plataforma para revisar la nómina de docentes afectados con la Deuda Histórica cerrará este 30 de septiembre,18565,8239,2334,373,si,masculino
29578,Temuco,Deportes,2011-07-29,Deportes Temuco ya definió a su once para enfrentar a La Pintana,3083,12099,2058,1737,no,masculino
335453,Santiago,Política,2015-07-21,"Mariana Aylwin: ""La Presidenta se subió al carro de los movimientos sociales porque parecía ganador""",16773,3428,1098,1418,si,masculino
806753,Valparaíso,Policial,2023-04-07,Carabineros sorprende a hombre con arma de fuego durante fiscalización en Viña del Mar,18919,1493,706,1267,no,femenino
770344,Chiloé,Sociedad,2022-08-08,Reporte Covid-19: 46 casos nuevos en Chiloé,11324,10756,2362,1322,no,masculino
767984,Puerto Montt,Deportes,2022-07-23,Autoridades comunales y regionales del deporte alistan detalles para  los Juegos de la Araucanía,9785,10637,30,342,si,femenino
506146,Quillota,Sociedad,2017-12-17,Piñera se impuso en 9 de 10 mesas en el Colegio Valle de Quillota,5369,12249,720,814,si,masculino
685243,Antofagasta,Sociedad,2020-12-10,Madres de jóvenes antofagastinos detenidos en incidentes “post 18-O” pintaron fachada de la Catedral,1078,13315,1120,1195,si,masculino
51994,Arica,Sociedad,2011-11-16,"Marcelita Toledo encantó a reos ""mateos"" del complejo de Acha",19627,5396,449,518,si,masculino
716531,Santiago,Sociedad,2021-07-30,Figueroa valoró la vuelta a clases presenciales de 7 mil colegios durante esta semana y sostuvo que &quot;irá aumentando&quot;,17032,1586,397,49,no,masculino
771161,Concepción,Sociedad,2022-08-12,Devuelven a su habitar a tres pingüinos magallánicos encontrados heridos en playas del Biobío,17587,12966,204,1982,si,masculino
19733,Valparaíso,Sociedad,2011-06-07,Carabineros inaugura una exposición de humor,1869,7718,2368,723,no,femenino
721741,Valparaíso,Sociedad,2021-09-04,Diputados UDI piden al Papa Francisco referirse sobre proyecto de indulto a presos del estallido,402,12634,714,183,si,masculino
39008,Santiago,Economía y Negocios,2011-09-16,"Isapres afirmaron que subieron sus utilidades en 6%, no en 70%",12268,13102,757,580,si,femenino
151854,Tomé,Espectáculos,2013-02-01,"Pamela Díaz por su animación en el festival de Dichato: “Si hay gente talentosa que no tiene éxito, ese no es mi problema”",8661,307,191,108,no,femenino
419307,Chillán,Sociedad,2016-09-21,Hospital realizó cuarta procuración del 2016,6621,8971,2125,3,no,masculino
795573,Chillán,Policial,2023-01-18,Detienen a imputado por femicidio frustrado en Chillán Viejo,3444,5370,2979,1828,no,femenino
382969,Valparaíso,Cultura,2016-03-24,"¿Viste este mural en Valparaíso? acá te contamos la historia tras la obra ""Resistencia""",8427,1473,1033,494,no,femenino
591465,Arica,Sociedad,2019-04-18,Ejemplar jornada cívica en elecciones de la Escuela Israel,7709,11025,2273,17,si,masculino
163166,Quillota,Sociedad,2013-03-26,Clínica dental móvil entrega atención gratuita por sectores de Limache,17774,6838,1286,169,no,femenino
79838,Temuco,Policial,2012-03-22,Vehículo que impactó a micro esta mañana era conducido por funcionarios de la PDI,14198,5072,2293,1200,si,femenino
782911,Valdivia,Policial,2022-10-25,Encuentran cuerpo de joven desaparecido en las aguas del Río Bueno,1864,13051,2532,566,no,femenino
619025,Arica,Economía y Negocios,2019-10-08,Seminario a realizarse este jueves en Arica  busca facilitar el comercio con Asia Pacífico,11576,3067,2674,868,no,femenino
406774,Valdivia,Deportes,2016-07-19,La “Rojita” consigue triunfo durante la jornada inaugural de Campeonato Fiba Americas 2016,12319,9411,173,1322,no,masculino
617955,Antofagasta,Sociedad,2019-10-01,ANEF Antofagasta denuncia que funcionaria del Gobierno Regional fue presionada para renunciar tras una marcha,18614,14758,1826,584,no,femenino
649214,San Antonio,Sociedad,2020-04-19,Multigremial de Trabajadores denuncia irregularidades para la atención en el hospital de San Antonio,6623,3308,2954,775,no,femenino
533238,Arica,Policial,2018-05-13,Auto se fue contra las rejas detrás del hospital regional de Arica,6695,523,2980,1650,si,masculino
25452,Iquique,Policial,2011-07-06,Un menor cae desde casi 3 metros,2703,4834,2407,125,si,masculino
373070,Santiago,Política,2016-02-01,Cadem: Desaprobación a Bachelet aumentó 44 puntos desde el inicio de su mandato,10083,10820,3145,52,si,femenino
58296,Valparaíso,Sociedad,2011-12-14,Tuiteros de Viña logran cumplir sueños navideños de cartas al Viejito Pascuero,8782,12054,973,1234,no,femenino
674408,Concepción,Sociedad,2020-09-22,Una mujer fue encontrada muerta en el cerro Condell de Curicó,14191,8408,2677,505,no,femenino
44116,Concepción,Sociedad,2011-10-12,Vecinos damnificados de Chiguayante protestan en el centro de Concepción,4547,7461,780,633,no,masculino
329244,Valdivia,Sociedad,2015-06-18,Aumento de presupuesto del puente Cau Cau fue irregular y se debe restituir al fisco más de $ 1.100 millones,4519,1752,2698,1937,si,femenino
427587,Santiago,Internacional,2016-11-03,Niño se disparó en la cabeza tras sufrir bullying en Argentina,12949,8961,2034,693,si,femenino
133802,Chiloé,Sociedad,2012-11-14,Comenzó la demolición de histórico edificio de Ancud,12031,5737,1492,80,si,femenino
451270,Concepción,Sociedad,2017-03-10,Sacó aplausos: funcionario del Registro Civil de Hualpén usó una sonaja para fotografiar a una guagua,4802,3803,368,1405,si,masculino
714137,Santiago,Deportes,2021-07-13,ANFP:  &quot;El fútbol chileno está definiendo una fecha para que cada uno de los espectadores pueda asistir con las mayores comodidades&quot;,3083,4824,2604,1390,si,femenino
513811,Temuco,Cultura,2018-01-29,El Día de las Cazuelas de Campo cerró una semana de actividades en Trovolhue,14976,4193,854,1778,no,femenino
362608,Antofagasta,Policial,2015-12-08,Lo apuñalaron y balearon en su propia casa: está grave,4784,3102,1857,1964,no,masculino
518820,Concepción,Política,2018-02-26,Presidente de Curicó Unido fue designado como nuevo intendente del Maule,10848,8982,2646,1123,si,masculino
703752,Valparaíso,Sociedad,2021-04-28,Con dos detenidos y la incautación de 52 kilos de droga terminó operativo de PDI en Valparaíso,6869,5191,1122,1712,si,femenino
372029,Concepción,Sociedad,2016-01-26,Alcalde de Coronel por recurso para retrasar puesta en marcha del Biotrén: “Esto es maldad”,15842,14995,666,1816,si,femenino
809834,Iquique,Sociedad,2023-05-01,Inauguran instalaciones de comedor comunitario en Huara,18075,9282,782,1465,si,femenino
547688,San Antonio,Sociedad,2018-07-30,Congestión vehicular genera accidente de tránsito ocurrido en la Ruta Nuevo Acceso al Puerto de San Antonio,3757,5269,76,851,no,masculino
437095,San Antonio,Sociedad,2016-12-23,En San Antonio invitan a participar hoy en una sesión fotográfica navideña,13538,10786,571,1638,no,femenino
108573,Iquique,Policial,2012-07-30,Un incendio destruye cuatro casas y deja 28 damnificados en Iquique,15293,10218,2211,521,si,femenino
141573,Arica,Sociedad,2012-12-15,Diputado por Arica solicitó informe por historial de sumarios a funcionarios de Junji,11378,4721,1628,586,no,femenino
798935,Valdivia,Sociedad,2023-02-11,Comenzó la Fiesta del Pato Pichirropullano en Paillaco,15994,4965,934,290,no,femenino
363323,Valparaíso,Sociedad,2015-12-11,"Suprema ratificó el fallo de la Corte porteña en favor de EPV por las ""cargas limpias""",8916,8758,666,1083,si,femenino
63048,Puerto Montt,Sociedad,2012-01-04,Entregan tres liceos que permanecían en toma en Puerto Montt,13792,207,2791,665,no,masculino
27094,Concepción,Sociedad,2011-07-15,Un incendio dejó cuatro personas damnificadas en Hualpén,18262,8290,3233,1988,si,femenino
695685,Valparaíso,Sociedad,2021-02-27,Municipio de Villa Alemana anunció nuevos centros de vacunación a partir de este lunes,15741,7356,3192,1088,si,masculino
20195,Arica,Cultura,2011-06-09,La rotunda presentación de la pareja ariqueña en el Campeonato Nacional de Cueca,7599,3264,2719,1454,si,femenino
470535,Temuco,Policial,2017-06-16,Más de 1.200 Carabineros se desplegaron por toda La Araucanía ante emergencias por sistema frontal,16396,13698,2987,1990,no,femenino
150512,Osorno,Policial,2013-01-26,Formalizaron a una persona por abuso sexual contra una carabinero en Osorno,9408,8010,249,506,si,femenino
56940,Antofagasta,Sociedad,2011-12-08,Cientos de antofagastinos celebraron fiesta de la Virgen María,15531,7688,135,1927,no,femenino
221670,Antofagasta,Sociedad,2013-12-23,Los alumnos del Liceo Óscar Bonilla ganaron el concurso Yo aprendo y emprendo en Antofagasta,4242,3297,2992,306,no,masculino
478357,Iquique,Sociedad,2017-07-28,Un sismo de 3.1° Richter se registró esta mañana en la Región de Tarapacá,18259,10061,2290,550,no,femenino
315983,Concepción,Sociedad,2015-04-12,Un ciclista murió tras ser atropellado por un auto en Concepción,1605,12564,1941,1186,si,masculino
775398,Valparaíso,Política,2022-09-07,De La Carrera y sanción por golpear a vicepresidente de la Cámara: &quot;El fallo salió más rápido que la nueva Constitución&quot;,8207,7278,3148,1867,si,femenino
395584,Antofagasta,Sociedad,2016-05-25,Convenio permitirá que niños y niñas con capacidades diferentes puedan aprender a jugar tenis,9779,126,1122,1466,si,femenino
782124,Santiago,Deportes,2022-10-20,&quot;Nuestro punto de encuentro&quot;: Santiago 2023 dio a conocer su nuevo lema,11731,11853,974,996,no,masculino
398700,Temuco,Policial,2016-06-10,Detenidos por ataque incendiario a iglesia evangélica quedaron en prisión preventiva,17121,994,1624,1285,no,masculino
189014,Arica,Política,2013-07-24,Dos concejales de Arica viajarán a Japón,11782,9010,2948,1269,no,femenino
588309,Valdivia,Política,2019-03-29,Mesa Regional de Jóvenes Rurales de Los Ríos llaman a parlamentarios a rechazar TPP 11,10049,10658,1351,340,si,femenino
292498,Puerto Montt,Sociedad,2014-12-10,Destacaron al sistema postpenitenciario de Puerto Montt en la cuenta pública de Gendarmería,6787,14529,2270,1818,no,masculino
222052,Arica,Policial,2013-12-25,Arica: un hombre fue encontrado muerto en el Parque Carlos Ibáñez,14141,13126,1726,320,no,femenino
585332,Osorno,Sociedad,2019-03-12,Comenzarán obras del parque Hott de Osorno en segundo semestre de este 2019,12084,5404,2252,1239,no,masculino
355876,Chiloé,Deportes,2015-11-03,Team Chiloé se lució en la Vuelta Internacional del Maule 2015,9489,2641,194,1080,si,masculino
476148,Iquique,Policial,2017-07-16,Cinturón de seguridad salvó a cuatro jóvenes que volcaron cuando iban de La Tirana a Iquique,6944,138,1696,1541,si,femenino
359808,Puerto Montt,Sociedad,2015-11-23,Familias afectadas por la erupción del Calbuco siguen aisladas en zona del Lago Chapo,7222,11833,2813,780,no,femenino
288347,Valparaíso,Policial,2014-11-20,El acusado de matar a Nicole Sessarego tiene rasgos de psicópata y sería imputable,8402,10661,1420,946,no,femenino
341019,Temuco,Policial,2015-08-19,La PDI detuvo a dos hombres en la región por receptación y piratería,189,3680,3269,457,no,femenino
746087,Temuco,Sociedad,2022-02-26,Alcalde de Lautaro criticó rechazo a consulta indígena sobre el proyecto WTE: &quot;Les hace falta conocer el lugar y a las comunidades&quot;,16414,12729,1433,150,no,femenino
8016,Copiapó,Sociedad,2011-04-12,El municipio de Copiapó busca mejorar la calidad de vida de los vecinos de Llanos de Ollantay,4161,185,2573,187,no,femenino
366219,Chiloé,Deportes,2015-12-26,En búsqueda de mejores horizontes:jugador de Deportes Castro viaja a Estados Unidos,16195,6567,1280,1828,no,masculino
74773,Valparaíso,Policial,2012-02-28,Carabineros detuvo a cuatro de los seis  implicados en el robo al DAEM de Concón,13296,10339,3170,183,si,femenino
363776,Antofagasta,Sociedad,2015-12-14,Reiteran llamado a postular al premio Ancla de Oro 2016,8187,3464,2087,462,si,femenino
143082,Chiloé,Economía y Negocios,2012-12-22,Habitantes de isla Quehui en Castro contarán con nueva rampa,12628,3022,1273,1355,no,femenino
590188,Calama,Deportes,2019-04-10,"""La Furia” Mannara es ayudante técnico y sueña con una despedida en Calama",10789,7951,2353,813,no,masculino
342106,Copiapó,Sociedad,2015-08-25,Un incendio dejó tres muertos en Copiapó,11425,1144,2341,1912,si,femenino
328181,Chillán,Sociedad,2015-06-13,Apoderados y alumnos del Colegio Padre Hurtado marcharon nuevamente  por las calles de Chillán,18509,7593,2232,378,si,femenino
788574,Concepción,Sociedad,2022-12-01,Reportan 414 nuevos casos de Covid-19 en el Biobío,8603,2529,755,1701,no,masculino
339268,San Antonio,Sociedad,2015-08-10,Renovaron el antiguo Servicio de Pabellón del hospital de San Antonio,14059,13050,1747,1972,si,femenino
183425,Arauco,Sociedad,2013-06-28,Arauco: una joven de 19 años resultó con el 65% de su cuerpo quemado tras intentar prender una estufa con bencina,14880,2861,669,1656,si,masculino
749439,Iquique,Policial,2022-03-23,Sorprenden a dos sujetos en zona fronteriza de Colchane con camioneta con encargo por robo en la comuna de Rancagua,8809,5252,1485,1331,si,femenino
165222,Quillota,Sociedad,2013-04-04,Adultos Mayores de Quillota cuentan con centro especial de atención de salud,4845,10021,1154,102,si,femenino
570724,Chiloé,Política,2018-12-06,Chiloé: llaman a prevenir el contagio del Hanta Virus,311,1247,1682,909,si,femenino
517056,Antofagasta,Sociedad,2018-02-16,Anualmente se registran más de 30 casos de cáncer infantil en la Región de Antofagasta,7982,14813,2006,789,no,masculino
733081,Temuco,Sociedad,2021-11-21,Mujer postrada hace cuatro años llegó a votar a Temuco: &quot;Tenía el deseo de cumplir mi derecho&quot;,15123,7208,2118,320,no,masculino
290422,Antofagasta,Sociedad,2014-11-30,Teletón: familia Luksic donó $2.500 millones para nuevo centro de rehabilitación en Antofagasta,6965,13123,1031,1756,no,masculino
161734,Valdivia,Política,2013-03-19,En Valdivia inauguraron nueva dirección zonal de Pesca y Acuicultura,17746,8323,300,454,no,femenino
681454,Antofagasta,Política,2020-11-11,Concejales de Antofagasta declararon en juicio de Caso Main: Cuestionaron la asesoría realizada a la corporación,19324,9726,2529,237,si,masculino
648892,Valparaíso,Sociedad,2020-04-17,"Personal del ""Cinzano"" acusa total abandono y  sueldos impagos",19173,683,1691,1993,si,masculino
28848,Antofagasta,Cultura,2011-07-26,Vuelven las clases de danza árabe a la Casa de la Cultura,14751,1092,26,743,no,femenino
628873,Temuco,Sociedad,2019-12-07,Estudiantes del Campus Villarrica UC invitan a trafkintu sustentable en el frontis municipal,17265,5419,2461,1224,no,femenino
600274,Antofagasta,Sociedad,2019-06-11,Trabajadores de Hogar Amor y Vida acusan al Sename por demoras en pago de remuneraciones,3609,10227,1798,762,si,masculino
528323,Chillán,Sociedad,2018-04-16,Fundación Teletón compromete estudio de factibilidad para instalar un centro en Ñuble,18886,4148,2618,1954,no,femenino
418383,Concepción,Policial,2016-09-16,La madrastra de Ángel Márquez fue declarada culpable del homicidio contra el menor,11643,9350,2819,443,si,femenino
144744,Calama,Sociedad,2012-12-30,Los calameños se preparan para celebrar el Año Nuevo,371,13273,2514,494,no,masculino
188565,Concepción,Policial,2013-07-23,Dos hombres fueron detenidos por robo a una conductora en Concepción,15641,14109,2388,1290,si,femenino
383443,Antofagasta,Policial,2016-03-26,Detuvieron a dos hermanas de 29 y 33 años por tráfico de drogas en Antofagasta,4306,475,1431,1497,si,masculino
783356,Antofagasta,Sociedad,2022-10-28,Camión chocó con una camioneta en el sector de La Posada en la Ruta 1 de Mejillones,6427,542,1045,1704,no,femenino
402740,Iquique,Sociedad,2016-06-30,Un sismo de 3.5° Richter se sintió esta madrugada en Tarapacá,3029,5800,839,1715,no,masculino
239523,Antofagasta,Sociedad,2014-03-28,"Ministra de Minería Aurora Williams y el galpón: ""lo que resulte de la Corte Suprema va a ser acogido""",8771,10637,2215,1773,no,femenino
110682,Osorno,Policial,2012-08-08,Conductor cayó con su vehículo a una zanja en el camino Las Quemas,561,223,1809,1451,si,masculino
36796,San Antonio,Deportes,2011-09-06,En plena grabación está el documental sobre la vida de la entrenadora de San Antonio Unido,19245,6588,447,1691,si,femenino
474255,Valparaíso,Sociedad,2017-07-06,Dúo Yorka se presentará en el Parque Cultural de Valparaíso,2901,2007,2920,254,si,masculino
504560,Valdivia,Espectáculos,2017-12-10,Payasas del Sur se presentarán en Valdivia,6720,4495,490,630,si,femenino
251438,Concepción,Sociedad,2014-05-26,Transportistas escolares presentaron sus inquietudes a la seremi del ramo del Bío Bío,2335,9259,2260,1315,no,femenino
493595,San Antonio,Sociedad,2017-10-18,Trabajadores de Maersk continuarán en huelga mañana,3176,7807,1264,1649,si,femenino
103191,Santiago,Sociedad,2012-07-05,Estudio sobre Twitter reveló el interés de los chilenos en la política,8507,12495,613,1806,si,masculino
13851,Concepción,Policial,2011-05-10,Una ciclista fue impactada por un taxibús en la Ruta 160,4424,12859,963,1803,no,femenino
